Domain,DNSName,NSRecord,MXRecord,IPv4Address,Netblock,AS,Company,DNSName
.,mms.sp-prod.net,.,.,.,.,.,.,consent-eng.theserverside.com
.,mms.sp-prod.net,.,.,52.222.236.51,.,.,.,.
.,mms.sp-prod.net,.,.,52.222.236.51,.,.,.,.
.,.,.,.,52.222.236.51,52.222.236.0-52.222.237.255,.,.,.
.,mms.sp-prod.net,.,.,52.222.236.76,.,.,.,.
.,mms.sp-prod.net,.,.,52.222.236.76,.,.,.,.
.,.,.,.,52.222.236.76,52.222.236.0-52.222.237.255,.,.,.
.,mms.sp-prod.net,.,.,52.222.236.3,.,.,.,.
.,mms.sp-prod.net,.,.,52.222.236.3,.,.,.,.
.,.,.,.,52.222.236.3,52.222.236.0-52.222.237.255,.,.,.
.,mms.sp-prod.net,.,.,52.222.236.19,.,.,.,.
sp-prod.net,mms.sp-prod.net,.,.,.,.,.,.,.
sp-prod.net,mms.sp-prod.net,.,.,.,.,.,.,.
.,mms.sp-prod.net,.,.,.,.,.,.,consent-qa.theserverside.com
.,mms.sp-prod.net,.,.,.,.,.,.,consent.theserverside.com
.,.,.,.,52.222.236.19,52.222.236.0-52.222.237.255,.,.,.
.,.,.,.,52.222.236.51,52.222.236.0-52.222.237.255,.,.,.
.,.,.,.,52.222.236.76,52.222.236.0-52.222.237.255,.,.,.
.,.,.,.,52.222.236.3,52.222.236.0-52.222.237.255,.,.,.
.,.,.,.,.,.,13335,CLOUDFLARENET - Cloudflare Inc.,.
.,.,.,.,.,104.16.0.0-104.19.255.255,13335,.,.
.,.,.,.,.,2606:4700::-2606:4700:1:ffff:ffff:ffff:ffff:ffff,13335,.,.
.,.,.,.,.,.,16552,AS16552 - Tiggee LLC,.
.,.,.,.,.,43.247.168.0-43.247.171.255,16552,.,.
.,.,.,.,43.247.170.1,43.247.168.0-43.247.171.255,.,.,.
.,.,.,.,43.247.170.1,43.247.168.0-43.247.171.255,.,.,.
.,.,ns12.techtarget.com,.,43.247.170.1,.,.,.,.
.,.,.,.,43.247.171.1,43.247.168.0-43.247.171.255,.,.,.
.,.,.,.,43.247.171.1,43.247.168.0-43.247.171.255,.,.,.
.,.,ns15.techtarget.com,.,43.247.171.1,.,.,.,.
.,.,.,.,.,96.45.80.0-96.45.87.255,16552,.,.
.,.,.,.,96.45.80.1,96.45.80.0-96.45.87.255,.,.,.
.,.,ns10.techtarget.com,.,96.45.80.1,.,.,.,.
.,.,.,.,96.45.80.1,96.45.80.0-96.45.87.255,.,.,.
.,.,.,.,96.45.81.1,96.45.80.0-96.45.87.255,.,.,.
.,.,.,.,96.45.81.1,96.45.80.0-96.45.87.255,.,.,.
.,.,ns13.techtarget.com,.,96.45.81.1,.,.,.,.
.,.,.,.,.,46.31.237.0-46.31.237.255,16552,.,.
.,.,.,.,46.31.237.1,46.31.237.0-46.31.237.255,.,.,.
.,.,.,.,46.31.237.1,46.31.237.0-46.31.237.255,.,.,.
.,.,ns14.techtarget.com,.,46.31.237.1,.,.,.,.
.,.,.,.,.,46.31.236.0-46.31.236.255,16552,.,.
.,.,.,.,46.31.236.1,46.31.236.0-46.31.236.255,.,.,.
.,.,.,.,46.31.236.1,46.31.236.0-46.31.236.255,.,.,.
.,.,ns11.techtarget.com,.,46.31.236.1,.,.,.,.
.,.,.,.,.,.,26211,PROOFPOINT-ASN-US-WEST - Proofpoint Inc.,.
.,.,.,.,.,148.163.144.0-148.163.151.255,26211,.,.
.,.,.,.,148.163.145.44,148.163.144.0-148.163.151.255,.,.,.
.,.,.,.,148.163.145.44,148.163.144.0-148.163.151.255,.,.,.
.,.,.,mx0a-00051b01.pphosted.com,148.163.145.44,.,.,.,.
.,.,.,.,.,.,7018,ATT-INTERNET4 - AT&T Services Inc.,.
.,.,.,.,.,206.19.49.0-206.19.49.255,7018,.,.
.,.,.,.,.,.,22843,PROOFPOINT-ASN-US-EAST - Proofpoint Inc.,.
.,.,.,.,.,148.163.136.0-148.163.143.255,22843,.,.
.,.,.,.,148.163.141.45,148.163.136.0-148.163.143.255,.,.,.
.,.,.,.,148.163.141.45,148.163.136.0-148.163.143.255,.,.,.
.,.,.,mx0b-00051b01.pphosted.com,148.163.141.45,.,.,.,.
